# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,adversarial_loss,batch_action_variance
88,1654127912.23938,140800,26.096830368042,0.10779070109129,2.35553669929504,0.201073423027992,-0.044519998133183,0.002896874910221,0.00044810079271,0.003344975644723,0.009802466258407,0.255625009536743,12.1247100830078,8.96804809570313,2.49198222160339,1.62109375
89,1654127915.19252,142400,23.6256351470947,0.06395348906517,-1.7886803150177,0.097693093121052,-0.043912909924984,0.001718749990687,0.000459935865365,0.002178685739636,0.009679516777396,0.234999999403954,13.8909044265747,8.93476009368897,2.53487229347229,1.58984375
90,1654127918.4346,144000,24.0649375915527,0.067093029618263,0.304992407560348,0.122752793133259,-0.04495881870389,0.001803125021979,0.000462271040305,0.002265396062285,0.010148911736906,0.246250003576279,12.1458234786987,8.98911380767822,2.54721522331238,1.40234375
91,1654127921.65701,145600,25.7999687194824,0.09784884005785,0.160574108362198,0.155076146125793,-0.04487906768918,0.002629687543958,0.000431429216405,0.003061116673052,0.011234128847718,0.259375005960464,13.7590894699097,9.14746475219727,2.62264347076416,1.58984375
92,1654127925.09027,147200,24.8582935333252,0.106079533696175,0.067925982177258,0.135688424110413,-0.043997775763273,0.002917187521234,0.000497202796396,0.003414390143007,0.011412523686886,0.241249993443489,13.0857238769531,9.18472099304199,2.42823266983032,3.3818359375
93,1654127928.2652,148800,23.5035743713379,0.049593020230532,-0.921022713184357,0.095935851335526,-0.044742796570063,0.001332812476903,0.000396874471335,0.001729686860926,0.009595676325262,0.234375,12.9263687133789,8.97785186767578,2.46918225288391,0.9990234375
94,1654127931.6689,150400,23.5691604614258,0.071437500417233,0.413892477750778,0.106144562363625,-0.04438217356801,0.001785937696695,0.000431163236499,0.002217100700364,0.010807683691382,0.237499997019768,11.6515979766846,9.0049352645874,2.43697261810303,0.9912109375
95,1654127934.69371,152000,23.3162937164307,0.040174417197704,-1.26528799533844,0.055755496025086,-0.04376669973135,0.001079687499441,0.000473740918096,0.00155342835933,0.0096375355497,0.245625004172325,13.0406579971313,8.95703792572022,2.57189774513245,2.02734375
96,1654127937.98317,153600,23.2940444946289,0.033658538013697,0.070593908429146,0.060488123446703,-0.044395193457604,0.000862499990035,0.000421626493335,0.001284126541577,0.009825270622969,0.243750005960464,11.6763257980347,8.98252677917481,2.54850387573242,2.68359375
97,1654127941.03349,155200,27.0110969543457,0.10460226982832,1.38160061836243,0.211719125509262,-0.044020086526871,0.002876562532038,0.000489166239277,0.003365728771314,0.010963424108923,0.25,13.9285354614258,9.01868152618408,2.51458048820496,4.02734375
